Variables,af,ar,bg,bn,ca,cs,da,de,el,en-GB,en,es-ES,es-MX,es,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,ml,mr,ms,nb,nl,pa,pl,pt,ro,ru,sk,sr,sv,ta,te,th,tl,tr,uk,ur,vi,zh-Hans,zh-Hant_HK,zh-Hant_TW,Comments
Send confirmation code,,إرسال رمز التوثيق,,নিশ্চিতকরণ কোড পাঠান,Envia el codi de confirmació,Odeslat potvrzovací kód,Send bekræftelseskode,Bestätigungscode senden,Αποστολή κωδικού επιβεβαίωσης,Send confirmation code,Send confirmation code,Enviar código de confirmación,Enviar código de confirmación,Enviar código de confirmación,ارسال کد تأیید,Lähetä vahvistuskoodi,Envoyer le code de confirmation,,שלח קוד אישור,पुष्टिकरण कोड भेजें,Pošalji potvrdni kod,Ellenőrzőkód küldése,Kirim kode konfirmasi,Invia codice di conferma,認証用コードを送信,,인증 코드 보내기,,,Hantar kod pengesahan,Send bekreftelseskode,Verstuur bevestigingscode,,Wyślij kod potwierdzenia,Enviar código de confirmação,Trimite codul de confirmare,Отправить код подтверждения,Odoslať potvrdzovací kód,Пошаљи код за потврду,Skicka bekräftelsekod,,,ส่งรหัสยืนยัน,Ipadala ang code sa kumprimasyon,Doğrulama kodu gönder,Надіслати код підтвердження,تصدیقی کوڈ بھیجیں,Gửi mã xác nhận,发送确认码,傳送確認碼,傳送確認碼,Send confirmation code button text
Send New Code,Stuur nuwe kode,إرسال رمز جديد,,নতুন কোড পাঠান,,Poslat nový kód,Send ny kode,Neuen Code senden,Αποστολή νέου κωδικού,Send New Code,Send New Code,Enviar código nuevo,Enviar código nuevo,Enviar código nuevo,,Lähetä uusi koodi,Envoyer un nouveau code,નવો કોડ મોકલો,שלח מחדש את הקוד,नया कोड भेजें,Pošalji novi kod,Új kód küldése,Kirimkan Kode Baru,Invia nuovo codice,新しいコードの送信,,새 코드 보내기,പുതിയ കോഡ് അയയ്‌ക്കുക,नवीन कोड पाठवा,Hantar Kod Baharu,Send ny kode,Nieuwe code versturen,ਨਵਾਂ ਕੋਡ ਭੇਜੋ,,Enviar novo código,Trimite un cod nou,Отправить новый код,Poslať nový kód,,Skicka ny kod,புதிய குறியீட்டை அனுப்பு,కొత్త కోడ్‌ను పంపు,ส่งรหัสใหม่,Magpadala ng Bagong Code,,,,Gửi mã mới,发送新代码,傳送新代碼,發送新驗證碼,
Send New Email,Stuur nuwe e-pos,إرسال بريد إلكتروني جديد,,নতুন ইমেল পাঠান,,Poslat nový e-mail,Send ny e-mail,Neue E-Mail versenden,Αποστολή νέου email,Send New Email,Send New Email,Enviar un nuevo correo electrónico,Enviar un nuevo correo electrónico,Enviar un nuevo correo electrónico,,Lähetä uusi sähköposti,Envoyer un e-mail,નવી ઇમેઇલ મોકલો,"שלח דוא\""ל חדש",नया ईमेल भेजें,Pošalji novu poruku e-pošte,Új e-mail küldése,Kirim Email Baru,Invia nuova e-mail,新しいメールを送信,,새 이메일 보내기,പുതിയ ഇമെയിൽ അയയ്‌ക്കുക,नवीन ईमेल पाठवा,Hantar E-mel Baharu,Send ny e-post,Nieuwe e-mail sturen,ਨਵੀਂ ਈਮੇਲ ਭੇਜੋ,,Enviar novo email,Trimite un e-mail nou,Отправить письмо заново,Poslať nový e-mail,,Skicka ny e-post,புதிய மின்னஞ்சலை அனுப்பு,కొత్త ఇమెయిల్ పంపు,ส่งอีเมลใหม่,Magpadala ng Bagong Email,,,,Gửi email mới,发送新邮件,傳送新電郵,發送新電子郵件,
Sending confirmation code,,إرسال رمز التأكيد,,নিশ্চিতকরণ কোড পাঠানো হচ্ছে,S'està enviant el codi de confirmació,Odesílání potvrzovacího kódu,Sender bekræftelseskode,Bestätigungscode wird gesendet,Γίνεται αποστολή κωδικού επιβεβαίωσης,Sending confirmation code,Sending confirmation code,Enviando código de confirmación,Enviando código de confirmación,Enviando código de confirmación,ارسال کد تأیید,Lähetetään vahvistuskoodia,Code de confirmation en cours d'envoi,,שולח קוד אישור,पुष्टिकरण कोड भेजा जा रहा है,Slanje potvrdnog koda,Ellenőrzőkód küldése folyamatban,Mengirim kode konfirmasi,Invio del codice di conferma in corso,認証コード送信中,,인증 코드를 보내는 중,,,Menghantar kod pengesahan,Sender bekreftelseskode,Bevestigingscode versturen...,,Wysyłanie kodu potwierdzenia,Enviando código de confirmação,Se trimite codul de confirmare,Отправка кода подтверждения,Odosiela sa potvrdzovací kód,Слање кода за потврду,Skickar bekräftelsekod,,,กําลังส่งรหัสยืนยัน,Pinapadala code ng pagkumpirma,Kod gönderiliyor,Надсилання коду підтвердження,تصدیقی کوڈ بھیجا جا رہا ہے,Đang gửi mã xác nhận,正在发送确认码,正在傳送確認碼,正在傳送確認碼,Sending confirmation code button text
Sending verification code,,إرسال رمز التأكيد,,নিশ্চিতকরণ কোড পাঠানো হচ্ছে,S'està enviant el codi de confirmació,Odesílání potvrzovacího kódu,Sender bekræftelseskode,Bestätigungscode wird gesendet,Γίνεται αποστολή κωδικού επιβεβαίωσης,Sending verification code,Sending verification code,Enviando código de confirmación,Enviando código de confirmación,Enviando código de confirmación,ارسال کد تأیید,Lähetetään vahvistuskoodia,Code de confirmation en cours d'envoi,,שולח קוד אישור,पुष्टिकरण कोड भेजा जा रहा है,Slanje potvrdnog koda,Ellenőrzőkód küldése folyamatban,Mengirim kode konfirmasi,Invio del codice di conferma in corso,認証コード送信中,,인증 코드를 보내는 중,,,Menghantar kod pengesahan,Sender bekreftelseskode,Bevestigingscode versturen...,,Wysyłanie kodu potwierdzenia,Enviando código de confirmação,Se trimite codul de confirmare,Отправка кода подтверждения,Odosiela sa potvrdzovací kód,Слање кода за потврду,Skickar bekräftelsekod,,,กําลังส่งรหัสยืนยัน,Pinapadala code ng pagkumpirma,Kod gönderiliyor,Надсилання коду підтвердження,تصدیقی کوڈ بھیجا جا رہا ہے,Đang gửi mã xác nhận,正在发送确认码,正在傳送確認碼,正在傳送確認碼,Sending verification code button text
Sending email\U2026,Stuur tans e-pos\U2026,جارٍ إرسال بريد إلكتروني\U2026,,ইমেল পাঠানো হচ্ছে\U2026,,Odesílání e-mailu\U2026,Sender e-mail \U2026,E-Mail wird gesendet \U2026,Αποστολή email\U2026,Sending email\U2026,Sending email\U2026,Enviando correo electrónico\U2026,Enviando correo electrónico\U2026,Enviando correo electrónico\U2026,,Lähetetään sähköpostiviestiä\U2026,Envoi de l'e-mail\U2026,ઇમેઇલ મોકલી રહ્યાં છે\U2026,"שולח דוא\""ל\U2026",ईमेल भेजा जा रहा है\U2026,Slanje e-pošte\U2026,E-mail küldése\U2026,Mengirimkan email\U2026,Invio dell'e-mail\U2026,メールを送信中\U2026,,이메일 보내는 중\U2026,ഇമെയിൽ അയയ്ക്കുന്നു\U2026,ईमेल पाठवित आहे,Menghantar e-mel\U2026,Sender e-post \U2026,E-mail verzenden\U2026,ਈਮੇਲ ਭੇਜ ਰਿਹਾ ਹੈ\U2026,,Enviando email\U2026,Se trimite e-mailul\U2026,Отправка\U2026,Posiela sa e-mail\U2026,,Skickar e-post \U2026,மின்னஞ்சலை அனுப்புகிறது\U2026,ఇమెయిల్ పంపుతోంది\U2026,กำลังส่งอีเมล,Ipinapadala ang email\U2026,,,,Đang gửi email\U2026,正在发送电子邮件\U2026,電郵傳送中\U2026,正在傳送電子郵件\U2026\U2026,
Sending your code\U2026,Stuur tans jou kode\U2026,جارٍ إرسال الرمز\U2026,,আপনার কোড পাঠানো হচ্ছে\U2026,,Posílání kódu\U2026,Sender din kode\U2026,Dein Code wird gesendet\U2026,Γίνεται αποστολή του κωδικού σας\U2026,Sending your code\U2026,Sending your code\U2026,Enviando tu código\U2026,Enviando tu código\U2026,Enviando tu código\U2026,,Lähetetään koodiasi\U2026,Envoi de votre code en cours\U2026,તમારો કોડ મોકલી રહ્યાં છીએ\U2026,שולח את הקוד שלך\U2026,आपका कोड भेजा जा रहा है\U2026,Slanje koda\U2026,A kód elküldése folyamatban van\U2026,Mengirimkan kode Anda\U2026,Invio del codice\U2026,コードを送信しています\U2026,,코드를 전송하는 중\U2026,നിങ്ങളുടെ കോഡ് അയയ്‌ക്കുന്നു\U2026,आपला कोड पाठवत आहे\U2026,Menghantar kod anda\U2026,Sender koden\U2026,Je code wordt verzenden\U2026,ਤੁਹਾਡਾ ਕੋਡ ਭੇਜ ਰਿਹਾ ਹੈ\U2026,,Enviando seu código\U2026,Se trimite codul tău\U2026,Выполняется отправка кода\U2026,Posiela sa vám kód\U2026,,Skickar din kod\U2026,உங்களுக்கான குறியீட்டை அனுப்புகிறது\U2026,మీ కోడ్‌ను పంపుతోంది\U2026,กำลังส่งรหัสถึงคุณ\U2026,Ipinapadala ang iyong code\U2026,,,,Đang gửi mã của bạn\U2026,发送代码\U2026,正在傳送您的代碼\U2026,正在發送確認碼\U2026,
Sending...,,جارٍ الإرسال...,,পাঠানো হচ্ছে...,S'està enviant...,Odesílání...,Sender...,Wird gesendet...,Αποστολή...,Sending...,Sending...,Enviando...,Enviando...,Enviando...,در حال ارسال...,Lähetetään...,Envoi en cours...,,שולח...,भेज रहे हैं...,Slanje...,Küldés folyamatban...,Mengirim...,Invio in corso...,送信中...,,보내는 중...,,,Menghantar...,Sender …,Versturen...,,Wysyłanie...,Enviando...,Se trimite...,Отправка...,Odosiela sa...,Слање...,Skickar …,,,กำลังส่ง...,Pinapadala...,Gönderiliyor...,Надсилається...,,Đang gửi...,正在发送…,,發送中…,Button title for in-progress event
Sent confirmation code,,تمّ إرسال رمز التأكيد,,নিশ্চিতকরণ কোড পাঠানো হয়েছে,S'ha enviat el codi de confirmació,Potvrzovací kód odeslán,Sendt bekræftelseskode,Bestätigungscode gesendet,Ο κωδικός επιβεβαίωσης εστάλη,Sent confirmation code,Sent confirmation code,Código de confirmación enviado,Código de confirmación enviado,Código de confirmación enviado,کد تأیید ارسال شد,Vahvistuskoodi lähetetty,Code de confirmation envoyé,,קוד האישור נשלח,पुष्टिकरण कोड भेजा गया,Pošalji potvrdni kod,Ellenőrzőkód elküldve,Kode konfirmasi yang dikirim,Codice di conferma inviato,認証コード送信済み,,인증 코드 보냄,,,Kod pengesahan dihantar,Sendte bekreftelseskode,Bevestigingscode verstuurd,,Wysłany kod potwierdzenia,Código de confirmação enviado,Cod de confirmare trimis,Код подтверждения отправлен,Potvrdzovací kód bol odoslaný,Послат је код за потврду,Bekräftelsekoden har skickats.,,,ส่งรหัสยืนยันแล้ว,Pinadala code sa pagkumpirma,Kod gönderildi,Код підтвердження надіслано,تصدیقی کوڈ بھیج دیا گیا,Đã gửi mã xác nhận,确认码已发送,已發送確認碼,已發送確認碼,Sent confirmation code button text
Sent!,Gestuur!,تم الإرسال!,,প্রেরিত:,,Odesláno!,Sendt!,Gesendet!,Στάλθηκε!,Sent!,Sent!,¡Enviado!,Enviado,Enviado,,Lähetettiin!,Envoyé!,મોકલ્યો!,נשלח!,भेजा दिया!,Poslano!,Elküldve!,Dikirim!,Invio riuscito!,送信されました,,보냈습니다!,അയച്ചു!,पाठविले!,Sudah dihantar!,Sendt.,Verzonden!,ਭੇਜਿਆ ਗਿਆ!,,Enviado!,Trimis!,Отправлено!,Odoslané!,,Skickat!,அனுப்பப்பட்டது!,పంపబడింది!,ส่งแล้ว!,Naipadala na!,,,,Đã gửi!,已发送！,已傳送！,已傳送！,
"Sorry, we are having trouble sending you a confirmation code.",,عذرًا، نواجه مشكلة في إرسال رمز التأكيد لك.,,"দুঃখিত, আপনাকে একটি নিশ্চিতকরণ কোড পাঠাতে আমাদের সমস্যা হচ্ছে।",Tenim problemes per enviar-te un codi de confirmació.,Nedaří se nám odeslat vám potvrzovací kód.,"Beklager, vi har problemer med at sende dig en bekræftelseskode.","Leider haben wir Schwierigkeiten, Dir einen Bestätigungscode zu senden.",Αντιμετωπίζουμε κάποιο πρόβλημα με την αποστολή κωδικού επιβεβαίωσης σε εσάς.,"Sorry, we are having trouble sending you a confirmation code.","Sorry, we are having trouble sending you a confirmation code.","Lo sentimos, tenemos problemas para enviarte un código de confirmación.","Lo sentimos, tenemos problemas para enviarte un código de confirmación.","Lo sentimos, tenemos problemas para enviarte un código de confirmación.",متأسفیم مشکلی در فرستادن رمز تأیید به شما وجود دارد.,Vahvistuskoodin lähettämisessä on nyt ongelmia.,"Désolé, nous rencontrons des difficultés à vous envoyer un code de confirmation.",,"מצטערים, נתקלנו בבעיה בשליחת קוד האישור.","क्षमा करें, हमें आपको एक पुष्टिकरण कोड भेजने में परेशानी हो रही है.","Nažalost, imamo problema sa slanjem potvrdnog koda.","Sajnáljuk, probléma merült fel az ellenőrzőkód elküldése során. ","Maaf, ada masalah saat kami mengirim kode konfirmasi.","Spiacenti, non riusciamo a inviarti un codice di conferma.",認証コードの送信に問題が発生しました。,,죄송합니다. 인증 코드를 전송하는 데 문제가 발생했습니다.,,,"Maaf, kami menghadapi masalah menghantar anda kod pengesahan.","Beklager, vi har problemer med å sende deg en bekreftelseskode.",We hebben helaas wat problemen met het versturen van de bevestigingscode.,,"Przykro nam, mamy problem z wysłaniem Ci kodu potwierdzającego.",Estamos com problemas para enviar um código de confirmação. ,"Ne pare rău, nu reușim să-ți trimitem un cod de confirmare.","К сожалению, нам не удалось отправить вам код подтверждения.","Ľutujeme, pri odosielaní potvrdzovacieho kódu sa vyskytol problém.","Жао нам је, имамо проблем са слањем  кода за потврду.",Vi har problem med att skicka dig en bekräftelsekod.,,,ขออภัย เราประสบปัญหาขณะส่งรหัสยืนยันถึงคุณ,"Pasensiya na, nagkakaproblema kaming ipadala sa iyo ang code ng pagkumpirma.","Üzgünüz, sana bir doğrulama kodu göndermede sorun yaşıyoruz.","На жаль, нам не вдалося надіслати вам код підтвердження.",معاف کیجیے گا، ہمیں آپ کو تصدیقی کوڈ بھیجنے میں مشکل پیش آ رہی ہے۔,"Xin lỗi, chúng tôi đang gặp rắc rối với việc gửi cho bạn mã xác nhận.",很抱歉，我们无法为你发送验证码。,抱歉，發送你的確認碼時發生錯誤。,抱歉，發送你的確認碼時發生錯誤。,Text explaining why we couldn't confirm a user's number
Start,Begin,بدء,,শুরু করুন,,Spustit,Start,Start,Έναρξη,Start,Start,Comenzar,Inicio,Inicio,,Alku,Démarrer,પ્રારંભ કરો,התחל,शुरू करें,Početak,Indítás,Mulai,Avvia,開始,,시작,തുടങ്ങുക,सुरू करा,Mula,Start,Starten,ਅਰੰਭ ਕਰੋ,,Iniciar,Începe,Старт,Štart,,Start,தொடங்கு,ప్రారంభించు,เริ่ม,Simulan,,,,Bắt đầu,开始,開始,開始,
Submit,Dien in,تقديم,,জমা দিন,,Odeslat,Indsend,Senden,Υποβολή,Submit,Submit,Enviar,Enviar,Enviar,,Lähetä,Soumettre,સબમિટ કરો,שלח,सबमिट करें,Pošalji,Küldés,Ajukan,Invia,送信,,제출,സമർപ്പിക്കുക,सादर करा,Hantar,Send inn,Verzenden,ਜਮਾ ਕਰੋ,,Enviar,Trimite,Отправить,Odoslať,,Skicka,சமர்ப்பி,సమర్పించు,ส่ง,Isumite,,,,Gửi,提交,送出,提交,
Taking you back to %1$@\U2026,Neem jou tans terug na %1$@\U2026,عودة إلى %1$@\U2026,,আপনাকে আবার %1$@ এ নিয়ে যাচ্ছে\U2026,,Přesměrování zpět na %1$@\U2026,Fører dig tilbage til %1$@\U2026,Du wirst weitergeleitet an %1$@\U2026,Επιστροφή στο %1$@\U2026,Taking you back to %1$@\U2026,Taking you back to %1$@\U2026,Se te está redirigiendo a %1$@\U2026,Se te está redirigiendo a %1$@\U2026,Se te está redirigiendo a %1$@\U2026,,Siirryt takaisin kohteeseen %1$@\U2026,Retour à %1$@\U2026,તમને %1$@ પર પાછા લઈ જઈ રહ્યાં છે\U2026,מחזירים אותך אל %1$@\U2026,आपको वापस %1$@ पर ले जाया जा रहा है\U2026,Vraćate se na %1$@\U2026,Visszalépés: %1$@\U2026,Mengembalikan Anda ke %1$@\U2026,Reindirizzamento a %1$@\U2026,%1$@に戻ります\U2026,,%1$@에 이동하는 중\U2026,നിങ്ങളെ %1$@ എന്നതിലേക്ക് തിരികെ കൊണ്ടുപോകുന്നു\U2026,आपल्‍याला पुन्‍हा %1$@ येथे नेत आहे\U2026,Mengembalikan anda ke %1$@\U2026,Sender deg tilbake til %1$@\U2026,Je wordt teruggeleid naar %1$@\U2026,ਤੁਹਾਨੂੰ %1$@ ਵਿੱਚ ਵਾਪਸ ਲੈ ਜਾ ਰਿਹਾ ਹੈ\U2026,,Levando você de volta para %1$@\U2026,Te aducem înapoi la %1$@\U2026,Возврат к %1$@\U2026,Prechádzate späť na %1$@\U2026,,Tar dig tillbaka till %1$@\U2026,%1$@ க்குத் திரும்பச்செல்கிறது\U2026,మిమ్మల్ని తిరిగి %1$@కి మళ్లిస్తోంది\U2026,กำลังนำคุณกลับไปที่ %1$@\U2026,Dadalhin ka muli pabalik sa %1$@\U2026,,,,Đưa bạn quay lại %1$@\U2026,即将回到 %1$@\U2026,正在返回 %1$@\U2026,正在將您帶回 %1$@\U2026,
This email is incorrect. Please try again.,Hierdie e-pos is verkeerd. Probeer asseblief weer.,عنوان البريد الإلكتروني غير صحيح. يرجى المحاولة مرة أخرى.,,এই ইমেলটি অবৈধ৷ অনুগ্রহ করে আবার চেষ্টা করুন৷,,Tento e-mail není správný. Zkuste to znovu.,E-mailen er ikke korrekt. Prøv igen.,Diese E-Mail-Adresse ist falsch. Versuche es erneut.,Αυτό το email δεν είναι σωστό. Προσπαθήστε ξανά.,This email is incorrect. Please try again.,This email is incorrect. Please try again.,La dirección de correo electrónico no es correcta. Vuelve a intentarlo.,La dirección de correo electrónico no es correcta. Vuelve a intentarlo.,La dirección de correo electrónico no es correcta. Vuelve a intentarlo.,,Sähköpostiosoite on virheellinen. Yritä uudelleen.,Cette adresse e-mail est incorrecte. Veuillez réessayer.,આ ઇમેઇલ ખોટું છે. કૃપા કરીને ફરી પ્રયાસ કરો.,"כתובת דוא\""ל זו שגויה. נסה שוב.",यह ईमेल गलत है. कृपया फिर से कोशिश करें.,Pogrešna adresa e-pošte. Pokušajte ponovno.,"Ez az e-mail cím helytelen. Kérjük, próbáld meg újra.",Email ini salah. Silakan coba lagi.,Questo indirizzo e-mail non è corretto. Riprova.,メールに誤りがあります。もう一度お試しください。,,올바른 이메일이 아닙니다. 다시 시도해보세요.,കൊടുത്തിരിക്കുന്ന ഇമെയിൽ തെറ്റാണ് വീണ്ടും ശ്രമിക്കുക.,हा ईमेल चुकीचा आहे. कृपया पुन्हा प्रयत्न करा.,E-mel ini tidak betul. Sila cuba lagi.,Denne e-posten er feil. Prøv på nytt.,Dit e-mailadres is onjuist. Probeer het opnieuw.,ਇਹ ਈਮੇਲ ਗਲਤ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,,Este email está incorreto. Tente novamente.,Acest e-mail nu este corect. Te rugăm să încerci din nou.,Неверный эл. адрес. Попробуйте еще раз.,Táto e-mailová adresa je nesprávna. Skúste znova.,,Den här e-postadressen är fel. Försök igen.,இந்த மின்னஞ்சல் தவறானது. மீண்டும் முயற்சிக்கவும்.,ఈ ఇమెయిల్ తప్పు. దయచేసి మళ్లీ ప్రయత్నించండి.,อีเมลนี้ไม่ถูกต้อง โปรดลองใหม่อีกครั้ง,Mali ang email na ito. Pakisubukang muli.,,,,Email này không chính xác. Vui lòng thử lại.,电子邮件不正确。请重试。,此電郵有誤。請稍後再試。,電子郵件地址有誤。請再試一次。,
Try a different number,,جرّب رقمًا مختلفًا,,অন্য একটি নম্বর দিয়ে চেষ্টা করুন,Prova-ho amb un altre número,Zkusit jiné číslo,Prøv et andet nummer,Versuche eine andere Telefonnummer,Δοκιμάστε ενα διαφορετικό αριθμό,Try a different number,Try a different number,Intenta con otro número,Intenta con otro número,Intenta con otro número,شماره دیگری را امتحان کنید,Kokeile toista numeroa,Essayer un autre numéro,,נסה מספר אחר,एक अलग नंबर आजमाएं,Pokušaj s drugim brojem,Próbálj meg egy másik telefonszámot,Coba nomor lain,Prova con un numero di telefono diverso,別の番号でお試しください,,다른 휴대폰 번호로 시도,,,Cuba nombor lain,Prøv et annet nummer,Probeer een ander nummer,,Wpisz inny numer telefonu,Tente um número diferente,Încearcă un alt număr,Попробуйте ввести другой номер телефона,Skúsiť iné číslo,Пробај други број,Pröva ett annat telefonnummer,,,ลองใช้หมายเลขโทรศัพท์อื่น,Subukan ang ibang numero,Farklı bir numara dene,Спробуйте інший номер телефону,ایک مختلف فون نمبر آزمائیں,Thử một số khác,请尝试使用其他手机号码,請試試不同的電話號碼,請試試不同的電話號碼,Button text for trying a different number
Try Again,Probeer weer,حاول مرة أخرى,,আবার চেষ্টা করুন,,Zkuste to znovu,Prøv igen,Erneut versuchen,Προσπαθήστε ξανά.,Try Again,Try Again,Volver a intentarlo,Intentar de nuevo,Intentar de nuevo,,Yritä uudelleen,Réessayer,ફરી પ્રયાસ કરો,נסה שוב,फिर से प्रयास करें,Pokušajte ponovno,Újra,Coba Lagi,Riprova,もう一度試す,,다시 시도,വീണ്ടും ശ്രമിക്കുക,पुन्‍हा प्रयत्‍न करा,Cuba Lagi,Prøv på nytt,Probeer het opnieuw,ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ,,Tente novamente,Încearcă din nou,Попробуйте еще раз,Skúsiť znova,,Försök igen,மீண்டும் முயற்சிக்கவும்,మళ్లీ ప్రయత్నించండి,ลองอีกครั้ง,Subukang Muli,,,,Thử lại,重试,再試一次,再試一次,
Unable to confirm your phone number,,لا يمكن تأكيد رقم هاتفك.,,আপনার ফোন নম্বর নিশ্চিত করা যায়নি,No es pot confirmar el número de telèfon,Vaše telefonní číslo se nám nepodařilo potvrdit.,Ikke i stand til at bekræfte dit telefonnummer,Wir konnten Deine Telefonnummer nicht bestätigen,Δεν ήταν δυνατή η επιβεβαίωση του αριθμού τηλεφώνου σας,Unable to confirm your phone number,Unable to confirm your phone number,No se puede confirmar tu número de teléfono,No se puede confirmar tu número de teléfono,No se puede confirmar tu número de teléfono,امکان تأیید شماره تلفن شما وجود ندارد,Puhelinnumeron vahvistaminen epäonnistui,Impossible de confirmer votre numéro de téléphone,,לא ניתן לאשר את מספר הטלפון שלך,आपके फ़ोन नंबर की पुष्टि करने में असमर्थ,Ne možemo potvrditi vaš telefonski broj,Telefonszámod megerősítése sikertelen,Tidak dapat mengonfirmasi nomor ponsel Anda,Impossibile confermare il tuo numero di telefono,電話番号を認証できません,,휴대폰 번호를 확인할 수 없음,,,Tidak dapat mengesahkan nombor telefon anda,Vi klarte ikke bekrefte telefonnummeret ditt,Je telefoonnummer kan niet worden bevestigd,,Nie udało nam się potwierdzić Twojego numeru telefonu.,Não foi possível verificar seu número de celular,Nu s-a putut confirma numărul tău de telefon,Не удалось подтвердить ваш номер телефона,Nepodarilo sa potvrdiť vaše telefónne číslo,Није могуће да потврдимо твој број телефона,Det gick inte att bekräfta ditt telefonnummer,,,ไม่สามารถยืนยันหมายเลขโทรศัพท์ของคุณได้,Hindi makumpirma ang numero ng telepono ninyo,Telefon numaran doğrulanamıyor,Не вдалося підтвердити ваш номер телефону,آپ کے فون نمبر کی تصدیق کرنے سے قاصر,Không thể xác nhận số điện thoại của bạn,无法确认你的手机号码,無法確認你的電話號碼,無法確認你的電話號碼,Large label when we couldn't confirm a user's number
Unable to send this number an SMS message.,,لايمكن إرسال رسالة نصّيّة قصيرة لهذا الرقم.,,এই নম্বরে একটি এস্এমএস বার্তা পাঠানো গেল না।,No es pot enviar un SMS al número.,Na toto číslo nelze poslat SMS.,Kunne ikke sende en sms-besked til dette nummer.,Wir konnten an diese Nummer keine SMS senden.,Δεν είναι δυνατή η αποστολή μηνύματος SMS σε αυτόν τον αριθμό.,Unable to send this number a text message.,Unable to send this number an SMS message.,No es posible enviar un SMS a este número.,No es posible enviar un SMS a este número.,No es posible enviar un SMS a este número.,ارسال پیامک به این شماره ممکن نیست.,Tekstiviestin lähettäminen tähän numeroon epäonnistui.,Impossible d'envoyer un SMS à ce numéro.,,לא ניתן לשלוח הודעת SMS למספר זה.,इस नंबर पर एस एम एस संदेश भेज पाने में असमर्थ.,Na ovaj broj nije moguće poslati SMS poruku.,Nem sikerült SMS-t küldeni erre a telefonszámra.,Tidak dapat mengirimkan pesan SMS ke nomor ini.,Impossibile inviare un SMS a questo numero.,この電話番号にSMSメッセージを送信できません。,,이 번호로 SMS 문자를 보낼 수 없습니다.,,,Tidak dapat menghantar mesej SMS kepada nombor ini.,Vi klarte ikke å sende en tekstmelding til dette nummeret.,Er kan geen sms worden verstuurd naar dit nummer.,,Nie udało się wysłać SMS-a na ten numer.,Não foi possível enviar um SMS a esse número.,Nu s-a putut trimite un mesaj SMS la acest număr.,Невозможно отправить SMS-сообщение на этот номер.,Nepodarilo sa odoslať SMS správu na toto číslo.,Овом броју није могуће послати СМС поруку.,Det gick inte att skicka ett SMS till detta nummer.,,,ไม่สามารถส่งข้อความ SMS ให้หมายเลขโทรศัพท์นี้ได้,Hindi makapagpadala ng mensaheng SMS sa numerong ito.,Bu numaraya kısa mesaj gönderilemiyor.,Не вдалося надіслати на цей номер SMS-повідомлення.,,không thể gửi một tin nhắn SMS đến số này.,无法给该号码发送短信。,無法傳送簡訊至此號碼。,無法傳送簡訊至此號碼。,
Use my phone number,,استخدام رقم هاتفي,,আমার ফোন নম্বর ব্যবহার করুন,Utilitza el número de telèfon,Použít moje telefonní číslo,Brug mit telefonnummer,Meine Telefonnummer verwenden,Χρήση του αριθμού τηλεφώνου μου,Use my phone number,Use my phone number,Usar mi número de teléfono,Usar mi número de teléfono,Usar mi número de teléfono,استفاده از شماره تلفن من,Käytä puhelinnumeroani,Utiliser mon numéro de téléphone,,השתמש במספר הטלפון שלי,मेरा फ़ोन नंबर उपयोग करें,Koristi moj telefonski broj,Használd a telefonszámomat,Gunakan nomor ponsel saya,Usa il mio numero di telefono,電話番号を使用する,,내 휴대폰 번호 사용,,,Gunakan nombor telefon saya,Bruk telefonnummeret mitt,Gebruik mijn telefoonnummer,,Użyj mojego numeru telefonu,Usar meu número de celular,Folosește numărul meu de telefon,Использовать мой номер телефона,Použiť moje telefónne číslo,Користи мој број телефона,Använd mitt telefonnummer,,,ใช้หมายเลขโทรศัพท์ของฉัน,Patunayan ang button label,Telefon numaramı kullan,Використовувати мій номер телефону,میرا فون نمبر استعمال کریں,Sử dụng số điện thoại của tôi,使用我的手机号码,使用我的電話號碼,使用我的電話號碼,Authenticate button label
Verification code,,رمز التوثيق,,,Codi de verificació,Ověřovací kód,Bekræftelseskode,Bestätigungscode,Κωδικός επαλήθευσης,Verification code,Verification code,,Código de verificación,Código de verificación,,Varmennuskoodi,Code de vérification,,קוד אימות,सत्यापन कोड,Kod za provjeru autentičnosti,Ellenőrzőkód,Kode verifikasi,Codice di verifica,認証コード,,인증 코드,,,Kod pengesahan,Verifiseringskode,Verificatiecode,,Kod weryfikacyjny,Código de verificação,Cod de verificare,Код проверки,Overovací kód,,Verifieringskod,,,รหัสการยืนยัน,,Doğrulama kodu,Код підтвердження,,Mã xác nhận,验证码,認證碼,認證碼,Hint text shown in verification code field
Verified,,مُوثّق,,,Verificat,Ověřeno,Verificeret,Verifiziert,Επαληθευμένος,Verified,Verified,,Verificado,Verificado,,Varmennettu,Certifié,,מאומת,सत्यापित,Provjeren,Ellenőrizve,Terverifikasi,Verificato,認証済み,,인증됨,,,Disahkan,Verifisert,Geverifieerd,,Zweryfikowany,Verificado,Verificat,Подлинные,Overený,,Verifierad,,,ตัวจริงเสียงจริง,,Onaylı,Підтверджено,,Đã xác nhận,已验证,已認證,已認證,Accessibility label for verified user icon
